,index,x,y,cluster
125,RARA:P1,-35.689945,72.234856,0
126,RARG:P1,29.996737,-78.56504,11
127,RB1:P1P2,43.5805,52.27201,25
128,RB1CC1:P1,68.65815,6.99142,25
129,RBL2:P1,76.10481,10.907244,25
130,RBPJ:P1P2,57.15179,-17.106888,12
131,RBPJL:P1P2,28.71148,-61.41227,2
132,RCOR2:P1P2,-109.994484,37.599773,13
133,RFX7:P1P2,33.94242,17.304276,0
134,RNF2:P1P2,-84.42251,74.59554,14
135,RREB1:P1P2,10.312153,-2.768247,2
136,SALL2:P1P2,-31.247065,95.19612,24
137,SETDB1:P1P2,-84.03947,38.41268,15
138,SIRT6:P1P2,-50.87553,-21.657816,11
139,SMAD2:P1P2,-67.94947,59.36109,16
140,SMAD3:P1P2,-69.368904,58.702953,16
141,SMAD4:P1P2,-40.013092,57.50201,0
142,SMAD5:P1P2,-39.560184,54.89327,18
143,SMAD6:P1P2,26.988554,27.979208,24
144,SMARCA4:P1P2,-71.63615,57.571583,16
145,SOX10:P1P2,74.604195,-2.9310427,23
146,SOX11:P1P2,-107.580864,37.669636,17
147,SOX4:P1,-32.351006,52.872437,18
148,SP4:P1P2,62.1304,-18.788872,12
149,SP8:P1P2,40.822826,-65.162025,2
150,SS18:P1P2,64.58521,-23.062475,12
151,SUPT4H1:P1P2,-34.380417,60.826946,0
152,TADA2B:P1P2,-12.074116,18.31422,19
153,TADA3:P1P2,23.322338,-14.825255,2
154,TAF12:P1P2,-13.729259,13.927924,2
155,TAF4:P1P2,-15.192594,12.649945,25
156,TAF5L:P1P2,-10.985578,16.12416,25
157,TBX18:P1,32.2691,-79.52116,11
158,TBX20:P1P2,-102.57725,33.05096,20
159,TBX2:P1P2,22.774137,22.2396,2
160,TBX3:P1P2,20.832159,8.359824,12
161,TBX5:P2,-32.195065,50.823975,18
162,TCEB3:P1P2,-37.20316,67.29744,0
163,TCF7:P1P2,57.395638,-52.92523,23
164,TFAP4:P1P2,58.791092,-60.398872,23
165,THAP2:P2,16.936258,13.043753,25
166,THAP4:P1P2,75.63522,8.5886545,25
167,TIGD1:P1P2,33.323376,6.903345,25
168,TOPORS:P1P2,-32.034397,84.02864,24
169,TOX2:P1P2,73.759865,3.7252405,25
170,TP53:P1P2,41.306988,51.33452,25
171,TRPS1:P1P2,-24.67181,-40.71305,11
172,TSC22D2:P1P2,-29.91249,-33.552814,11
173,TULP4:P1P2,17.798798,-67.831665,2
174,WT1:P1P2,-39.95986,65.46822,0
175,YWHAE:P1P2,-32.542652,80.11229,0
176,ZBTB10:P1P2,12.971213,-78.16602,21
177,ZBTB12:P1P2,-104.626335,37.840023,16
178,ZBTB7C:P2,47.053364,21.35001,25
179,ZC3H15:P1P2,-33.247555,55.19882,0
180,ZC3H3:P1P2,15.085813,14.231478,22
181,ZFP36L1:P2,2.646687,-22.843288,2
182,ZFP64:P1P2,-20.508469,-36.976227,25
183,ZFP90:P1,50.148655,24.910576,25
184,ZFPM2:P1P2,-45.75304,69.55962,0
185,ZIC2:P1P2,-84.92811,45.37547,8
186,ZIC5:P1P2,-4.264247,-61.40076,12
187,ZNF101:P1P2,53.93556,-56.524216,23
188,ZNF133:P1P2,-82.26341,83.72988,8
189,ZNF148:P1P2,68.055,-60.850544,23
190,ZNF18:P1P2,-5.649989,15.684156,25
191,ZNF219:P1P2,0.52147865,-59.146866,11
192,ZNF292:P1P2,-28.415827,81.692474,0
193,ZNF331:P2,-4.421464,18.158789,25
194,ZNF358:P1,24.286884,-62.30564,2
195,ZNF384:P1P2,-50.159424,-19.3719,11
196,ZNF391:P1P2,28.915653,13.865222,25
197,ZNF410:P1P2,-29.655594,-45.623558,11
198,ZNF425:P1P2,70.967834,6.1202073,25
199,ZNF436:P1,32.735497,-59.504063,2
200,ZNF439:P1P2,-48.7451,-44.460873,11
201,ZNF460:P1P2,-60.91474,41.05257,24
202,ZNF462:P1P2,-28.841478,-35.565857,12
203,ZNF471:P1P2,56.530952,-55.447224,23
