,cell_count,type,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,distance_mean,pval_mean,pval_mean_log,distance_mean_log
PSIP1:P1P2,1319,targeting,5.918701171875,0.005,5.558349609375,0.003,4.1807861328125,0.005,5.6214599609375,0.001,5.2596435546875,0.001,5.3216552734375,0.001,6.047119140625,0.001,6.801513671875,0.0,5.472412109375,0.002,5.1507568359375,0.0,6.2613525390625,0.001,6.13671875,0.001,6.0594482421875,0.0,5.840576171875,0.002,5.765380859375,0.002,4.9654541015625,0.001,6.2021484375,0.001,4.9261474609375,0.005,6.4708251953125,0.0,6.97021484375,0.0,5.746533203125,0.0016000000000000003,2.79317412396815,0.7594059203735385
ZNF571:P1P2,1061,targeting,3.16650390625,0.044,3.48095703125,0.04,2.82470703125,0.066,3.8724365234375,0.015,4.165771484375,0.015,2.788818359375,0.061,2.7545166015625,0.065,3.8045654296875,0.028,3.3824462890625,0.035,3.046142578125,0.052,3.878173828125,0.013,3.8428955078125,0.006,2.0926513671875,0.202,2.3004150390625,0.144,5.223388671875,0.002,2.2783203125,0.156,2.10107421875,0.213,2.7630615234375,0.075,3.120849609375,0.051,2.291015625,0.132,3.158935546875,0.07075000000000001,1.1502121757623145,0.4995407648978398
KDM4E:ENST00000450979.2,474,targeting,3.021484375,0.428,2.4215087890625,0.661,2.974609375,0.462,3.7030029296875,0.235,3.08349609375,0.413,3.859375,0.187,4.4605712890625,0.119,3.5355224609375,0.279,2.8651123046875,0.453,2.552001953125,0.587,3.2080078125,0.347,3.2974853515625,0.299,4.1396484375,0.16,3.9498291015625,0.171,2.2440185546875,0.707,3.74072265625,0.233,4.8896484375,0.073,3.5238037109375,0.284,3.135986328125,0.428,4.1298828125,0.173,3.436785888671875,0.33494999999999997,0.475007052116826,0.5361524764884595
OR51A4,757,negative control,1.931884765625,0.5,1.614501953125,0.638,1.3541259765625,0.828,1.44482421875,0.743,0.973388671875,0.954,1.9803466796875,0.44,2.267578125,0.327,1.985595703125,0.47,1.5379638671875,0.696,1.8197021484375,0.528,2.1654052734375,0.403,1.4693603515625,0.726,2.5120849609375,0.253,2.463134765625,0.262,1.4794921875,0.757,2.1651611328125,0.366,3.0233154296875,0.134,1.6092529296875,0.656,2.064208984375,0.443,2.8333740234375,0.178,1.934735107421875,0.5151,0.2881000189358388,0.2866215123730113
ZNF585A:P1P2,276,targeting,6.683837890625,0.147,6.9844970703125,0.13,5.805908203125,0.252,7.1414794921875,0.112,6.798828125,0.132,6.187744140625,0.181,5.1639404296875,0.304,6.3470458984375,0.166,6.6519775390625,0.131,6.86767578125,0.143,6.761474609375,0.155,7.3275146484375,0.097,5.068603515625,0.334,5.3153076171875,0.27,8.8446044921875,0.047,4.77587890625,0.401,5.135498046875,0.321,6.3497314453125,0.156,6.055419921875,0.242,5.299560546875,0.295,6.278326416015625,0.2008,0.6972146638543013,0.7978438913240734
ZNF585B:P1P2,545,targeting,6.0660400390625,0.021,6.3056640625,0.017,5.4771728515625,0.036,6.01513671875,0.021,6.1341552734375,0.018,5.4432373046875,0.021,3.8642578125,0.113,5.853759765625,0.028,6.01025390625,0.019,6.5841064453125,0.012,5.6531982421875,0.032,5.90869140625,0.025,4.3052978515625,0.073,5.315673828125,0.023,8.7314453125,0.005,4.9827880859375,0.049,3.6400146484375,0.173,5.715087890625,0.022,6.0975341796875,0.03,4.4617919921875,0.062,5.628265380859375,0.040000000000000015,1.3978314486210026,0.7503745668589418
ZNF132:P1P2,447,targeting,9.265625,0.004,9.7591552734375,0.003,9.617431640625,0.006,9.2098388671875,0.012,10.673828125,0.004,8.751220703125,0.004,7.2662353515625,0.012,8.3533935546875,0.005,9.1876220703125,0.004,10.00244140625,0.002,8.642822265625,0.006,9.8621826171875,0.003,6.75439453125,0.033,8.3052978515625,0.007,13.2296142578125,0.001,7.918701171875,0.005,6.031494140625,0.039,10.1134033203125,0.0,8.334228515625,0.01,7.09716796875,0.023,8.918804931640626,0.00915,2.0381045263321496,0.9503066653217846
CREBRF:P1,399,targeting,6.352294921875,0.051,6.0462646484375,0.063,5.879150390625,0.078,6.4642333984375,0.035,5.7802734375,0.077,6.4124755859375,0.053,4.6590576171875,0.173,6.1121826171875,0.074,6.1915283203125,0.051,6.74609375,0.036,6.09521484375,0.062,6.3587646484375,0.057,5.3935546875,0.086,5.6572265625,0.07,8.6778564453125,0.012,4.9267578125,0.134,4.3778076171875,0.206,5.7454833984375,0.069,5.82177734375,0.068,5.23046875,0.102,5.94642333984375,0.07785,1.108685600617857,0.7742558244137306
ZNF37A:P1P2,537,targeting,4.121337890625,0.138,3.8319091796875,0.167,3.665771484375,0.183,4.0836181640625,0.119,4.626708984375,0.063,3.033935546875,0.305,3.2337646484375,0.236,3.5235595703125,0.204,3.6358642578125,0.185,3.374755859375,0.248,3.838623046875,0.165,3.8414306640625,0.161,2.746337890625,0.385,3.6016845703125,0.171,5.3936767578125,0.052,3.57568359375,0.183,2.020751953125,0.701,3.9486083984375,0.141,3.814697265625,0.182,2.529541015625,0.46,3.622113037109375,0.22244999999999998,0.6527480671143825,0.5589619994365802
OR5T3,555,negative control,6.401123046875,0.021,6.9010009765625,0.01,7.5609130859375,0.009,6.9510498046875,0.009,7.9459228515625,0.003,6.2171630859375,0.02,5.533935546875,0.031,5.842529296875,0.025,6.492431640625,0.021,8.628662109375,0.005,6.1312255859375,0.017,7.2108154296875,0.01,4.2215576171875,0.109,5.794677734375,0.027,8.970703125,0.005,6.090576171875,0.02,3.607666015625,0.171,7.969482421875,0.004,5.58349609375,0.031,5.229736328125,0.053,6.4642333984375,0.030050000000000004,1.5220110237491107,0.8105170287417068
ZNF616:P1P2,607,targeting,8.850830078125,0.002,9.5755615234375,0.002,9.23291015625,0.002,9.3511962890625,0.002,10.0322265625,0.0,9.33642578125,0.002,7.8770751953125,0.0,9.6966552734375,0.0,9.9307861328125,0.002,10.97900390625,0.0,9.121826171875,0.001,10.4534912109375,0.0,7.86181640625,0.006,7.9556884765625,0.006,13.1695556640625,0.0,7.8544921875,0.006,7.6103515625,0.005,9.6236572265625,0.0,8.237548828125,0.004,8.248046875,0.001,9.249957275390624,0.0020499999999999997,2.6861327796308467,0.9661397267817412
HOXA9:P1P2,350,targeting,10.3304443359375,0.015,8.25341796875,0.031,9.3172607421875,0.019,11.57568359375,0.002,8.8487548828125,0.018,10.7310791015625,0.009,10.641357421875,0.006,9.055908203125,0.018,9.02978515625,0.02,8.8975830078125,0.015,10.2640380859375,0.019,9.60888671875,0.019,10.9305419921875,0.011,10.50244140625,0.005,7.550048828125,0.045,9.2176513671875,0.012,10.9930419921875,0.005,7.683349609375,0.047,9.1314697265625,0.025,9.5345458984375,0.009,9.604864501953125,0.0175,1.7567138539165539,0.9824912425481402
MXD1:P1P2,648,targeting,1.4388427734375,0.836,1.7109375,0.692,2.0592041015625,0.525,1.767822265625,0.658,2.1903076171875,0.433,1.5491943359375,0.767,1.787841796875,0.633,1.993896484375,0.58,1.7275390625,0.706,2.1959228515625,0.458,1.3458251953125,0.888,2.021240234375,0.522,1.7147216796875,0.69,1.893798828125,0.581,2.994140625,0.229,2.3673095703125,0.367,1.5731201171875,0.757,2.64599609375,0.268,1.5953369140625,0.784,2.05224609375,0.539,1.93126220703125,0.5956499999999999,0.22500156283978462,0.2858412418457035
HOXB4:P1P2,452,targeting,75.572509765625,0.0,78.2481689453125,0.0,78.173583984375,0.0,74.0189208984375,0.0,80.90576171875,0.0,74.029052734375,0.0,71.3253173828125,0.0,74.3280029296875,0.0,78.3590087890625,0.0,81.28466796875,0.0,74.122802734375,0.0,78.9188232421875,0.0,68.449462890625,0.0,71.715576171875,0.0,88.7479248046875,0.0,73.903564453125,0.0,67.004638671875,0.0,79.7010498046875,0.0,72.80029296875,0.0,70.009765625,0.0,75.58094482421875,0.0,5.0,1.8784123166545577
ESRRG:ENST00000360012.3,650,targeting,4.126708984375,0.067,4.35498046875,0.052,3.3583984375,0.126,3.9112548828125,0.08,4.06298828125,0.079,3.92431640625,0.074,2.7252197265625,0.233,3.9190673828125,0.076,3.5074462890625,0.119,4.244873046875,0.057,4.5533447265625,0.047,3.9969482421875,0.06,3.237060546875,0.158,2.6444091796875,0.263,5.3321533203125,0.024,2.16357421875,0.433,2.9384765625,0.184,3.182373046875,0.144,3.3837890625,0.15,3.032470703125,0.183,3.62999267578125,0.13045,0.8845226258135311,0.5599057487631108
ZNF19:P1P2,659,targeting,3.0552978515625,0.215,2.8681640625,0.24,2.1817626953125,0.507,3.781494140625,0.078,3.0313720703125,0.193,3.0672607421875,0.166,3.490966796875,0.118,4.135498046875,0.081,2.86474609375,0.239,2.4742431640625,0.342,3.7550048828125,0.107,3.59619140625,0.094,3.2242431640625,0.163,2.794189453125,0.247,3.71142578125,0.097,1.8570556640625,0.632,3.5179443359375,0.126,2.3758544921875,0.358,3.3839111328125,0.151,3.0601806640625,0.18,3.11134033203125,0.21669999999999995,0.664121047865158,0.492947518739417
NR5A1:P1P2,919,targeting,2.6224365234375,0.163,2.75732421875,0.125,2.8165283203125,0.119,2.80078125,0.121,3.0291748046875,0.091,3.1693115234375,0.075,2.4306640625,0.197,2.913330078125,0.123,3.0703125,0.083,3.6705322265625,0.045,2.7994384765625,0.145,3.240478515625,0.059,2.6041259765625,0.147,3.0224609375,0.075,4.689208984375,0.012,2.8018798828125,0.099,2.1231689453125,0.308,3.02099609375,0.085,2.3865966796875,0.229,2.7830810546875,0.115,2.937591552734375,0.12080000000000002,0.917897115672906,0.46799141067647154
E2F8:P1P2,1077,targeting,2.8272705078125,0.075,2.44677734375,0.14,2.4495849609375,0.134,3.282470703125,0.045,2.6409912109375,0.101,3.5308837890625,0.028,3.6806640625,0.024,3.28955078125,0.049,2.6519775390625,0.103,2.9346923828125,0.08,3.6470947265625,0.032,3.3497314453125,0.027,4.0997314453125,0.011,3.1890869140625,0.05,2.2606201171875,0.195,2.32275390625,0.16,4.5245361328125,0.018,2.1141357421875,0.196,2.6895751953125,0.106,3.9984130859375,0.02,3.096527099609375,0.07970000000000001,1.09848719087006,0.4908748851398137
HOXB6:P2,918,targeting,6.71435546875,0.002,5.6817626953125,0.003,4.6103515625,0.01,6.3602294921875,0.003,4.97900390625,0.007,6.101806640625,0.003,6.3380126953125,0.001,6.5758056640625,0.002,4.7713623046875,0.014,4.08984375,0.037,6.762451171875,0.002,4.6776123046875,0.01,7.37548828125,0.001,6.5196533203125,0.001,3.1463623046875,0.082,5.84375,0.004,7.60595703125,0.001,4.8043212890625,0.018,7.25537109375,0.0,6.719482421875,0.001,5.846649169921875,0.0101,1.995248844408999,0.7669070346379959
GCM1:P1P2,365,targeting,9.283447265625,0.022,7.379638671875,0.047,6.932861328125,0.065,9.4462890625,0.013,6.6949462890625,0.074,9.5018310546875,0.006,9.492431640625,0.02,9.513671875,0.018,8.25830078125,0.023,7.9957275390625,0.034,8.7994384765625,0.022,8.49951171875,0.02,10.7030029296875,0.008,10.05810546875,0.005,5.565185546875,0.153,8.9786376953125,0.007,11.0228271484375,0.004,7.495849609375,0.042,9.5321044921875,0.014,10.9818115234375,0.011,8.806781005859374,0.03040000000000001,1.5169835798558677,0.9448171970779345
TWIST2:P1P2,625,targeting,3.05029296875,0.276,2.9234619140625,0.334,3.441162109375,0.181,3.76416015625,0.14,4.1826171875,0.089,3.691650390625,0.119,3.1534423828125,0.235,2.7213134765625,0.384,2.9700927734375,0.302,3.563232421875,0.157,2.594482421875,0.436,3.8289794921875,0.121,2.986572265625,0.287,3.5970458984375,0.136,4.4815673828125,0.075,3.323974609375,0.166,2.629150390625,0.4,4.0284423828125,0.101,2.7857666015625,0.386,2.731201171875,0.374,3.322430419921875,0.23495,0.6290060664852561,0.5214558944874856
BARX1:P1P2,853,targeting,1.30859375,0.782,1.3795166015625,0.743,1.103271484375,0.896,1.4766845703125,0.679,1.341552734375,0.716,1.674072265625,0.521,1.3135986328125,0.738,1.9468994140625,0.418,1.3441162109375,0.742,2.001953125,0.355,1.638916015625,0.578,1.8240966796875,0.424,1.58642578125,0.57,1.1856689453125,0.822,2.5406494140625,0.207,1.0927734375,0.878,1.416748046875,0.685,1.3179931640625,0.73,1.557861328125,0.643,1.620361328125,0.531,1.533587646484375,0.6329000000000001,0.19865804240333373,0.185708601509758
OLIG2:P1P2,464,targeting,5.4241943359375,0.061,6.038818359375,0.045,5.5093994140625,0.065,5.703857421875,0.048,7.0902099609375,0.019,4.3695068359375,0.128,4.04931640625,0.147,4.814208984375,0.105,5.0654296875,0.088,5.0548095703125,0.091,5.6387939453125,0.063,5.401123046875,0.051,3.5340576171875,0.269,4.172607421875,0.133,7.380615234375,0.016,4.6619873046875,0.113,3.1776123046875,0.338,5.27734375,0.057,4.8087158203125,0.104,3.4481201171875,0.292,5.031036376953125,0.11165,0.9521023764855894,0.7016574575072023
PGBD1:P1P2,1025,targeting,2.643310546875,0.114,2.06298828125,0.248,2.306396484375,0.17,2.4683837890625,0.147,1.67724609375,0.403,2.859130859375,0.07,1.8182373046875,0.333,2.1651611328125,0.209,2.1641845703125,0.22,2.6064453125,0.129,2.572021484375,0.157,1.7174072265625,0.371,2.900146484375,0.071,3.2291259765625,0.038,1.9068603515625,0.348,2.864501953125,0.08,2.6856689453125,0.097,2.1187744140625,0.198,2.5330810546875,0.135,2.700439453125,0.109,2.3999755859375,0.18235,0.7390704164700752,0.3802068238172085
HAND1:P1P2,2268,targeting,19.632568359375,0.0,20.869873046875,0.0,20.3387451171875,0.0,19.5557861328125,0.0,22.108642578125,0.0,19.0587158203125,0.0,19.173095703125,0.0,20.635009765625,0.0,19.563720703125,0.0,20.4627685546875,0.0,18.6864013671875,0.0,20.2578125,0.0,18.0787353515625,0.0,18.737060546875,0.0,22.391845703125,0.0,20.631591796875,0.0,17.64306640625,0.0,22.402587890625,0.0,20.7213134765625,0.0,18.7459716796875,0.0,19.984765625,0.0,5.0,1.300699059357892
ISL1:P2,324,targeting,6.79541015625,0.105,5.9222412109375,0.149,6.8154296875,0.092,7.6600341796875,0.05,7.4422607421875,0.05,7.860595703125,0.062,5.8677978515625,0.126,5.7899169921875,0.163,6.7984619140625,0.085,7.790771484375,0.046,6.287841796875,0.132,6.8441162109375,0.069,5.901611328125,0.13,6.5789794921875,0.091,7.8719482421875,0.064,6.3095703125,0.111,5.810302734375,0.136,6.6939697265625,0.097,5.643310546875,0.199,5.217529296875,0.229,6.59510498046875,0.1093,0.961340105697504,0.8192217130098163
ZNF407:ENST00000299687.5,645,targeting,1.75048828125,0.683,1.3316650390625,0.905,1.48095703125,0.826,1.3990478515625,0.848,0.994873046875,0.969,1.619140625,0.734,1.7010498046875,0.667,1.9554443359375,0.572,1.5037841796875,0.781,1.36474609375,0.876,2.042724609375,0.532,0.9903564453125,0.968,2.12158203125,0.452,2.1695556640625,0.442,1.1837158203125,0.945,2.186767578125,0.438,2.39404296875,0.356,1.2874755859375,0.887,2.290771484375,0.424,2.1990966796875,0.466,1.6983642578125,0.68855,0.16205821004239562,0.23003084149818104
ELK1:P1P2,287,targeting,6.7178955078125,0.135,6.039794921875,0.192,6.9647216796875,0.112,7.780029296875,0.076,7.6124267578125,0.079,7.2525634765625,0.084,6.86279296875,0.112,6.103759765625,0.194,6.594970703125,0.13,6.4537353515625,0.144,6.8436279296875,0.118,7.0528564453125,0.094,6.2266845703125,0.166,6.5703125,0.115,8.296142578125,0.069,6.1204833984375,0.155,5.3372802734375,0.264,6.097900390625,0.183,5.7755126953125,0.234,5.0714111328125,0.29,6.5887451171875,0.1473,0.8317677704865792,0.8188027073745129
CIR1:P1P2,13,targeting,89.23486328125,0.368,83.9263916015625,0.465,83.6005859375,0.413,89.3785400390625,0.37,82.086181640625,0.436,87.02490234375,0.348,85.7689208984375,0.406,86.2972412109375,0.406,84.1373291015625,0.436,81.193359375,0.474,90.058837890625,0.406,81.2552490234375,0.45,90.55322265625,0.377,88.0426025390625,0.365,74.5191650390625,0.559,85.617919921875,0.395,90.509765625,0.354,79.5877685546875,0.468,89.798583984375,0.393,87.175537109375,0.38,85.48834838867188,0.41345,0.3835664997016679,1.9319069267126079
PRDM4:P1P2,725,targeting,3.62548828125,0.077,3.1866455078125,0.139,3.6236572265625,0.084,3.2867431640625,0.114,2.48681640625,0.271,3.980712890625,0.052,2.2679443359375,0.354,3.1851806640625,0.127,3.4091796875,0.094,4.0428466796875,0.044,3.718505859375,0.055,2.5411376953125,0.238,3.624267578125,0.086,3.7205810546875,0.07,4.0264892578125,0.052,3.55126953125,0.079,3.4619140625,0.07,3.532470703125,0.073,3.906982421875,0.051,3.63525390625,0.073,3.440704345703125,0.11015000000000001,0.9579760727511327,0.5366473559844365
ZNF692:P1P2,407,targeting,6.291748046875,0.051,5.3116455078125,0.123,4.8114013671875,0.164,5.8948974609375,0.078,5.629150390625,0.075,5.255126953125,0.087,4.6534423828125,0.142,5.0150146484375,0.138,4.80908203125,0.129,4.85205078125,0.131,6.32470703125,0.065,5.1815185546875,0.095,5.6533203125,0.073,5.6817626953125,0.07,5.741943359375,0.083,4.264892578125,0.203,4.594970703125,0.14,3.9007568359375,0.256,5.5927734375,0.084,4.219482421875,0.198,5.183984375,0.11925,0.9235051949902796,0.7146636838614747
ZNF468:P1P2,370,targeting,9.7547607421875,0.014,9.84619140625,0.01,9.1341552734375,0.012,10.326416015625,0.006,10.4881591796875,0.004,8.8900146484375,0.012,7.72412109375,0.029,9.36962890625,0.01,9.77294921875,0.01,10.4591064453125,0.005,9.5289306640625,0.008,10.206298828125,0.004,6.8421630859375,0.046,7.57373046875,0.025,12.62841796875,0.005,7.8231201171875,0.023,6.8175048828125,0.045,9.072021484375,0.012,8.4564208984375,0.021,6.8189697265625,0.051,9.076654052734375,0.017599999999999998,1.7542406440327232,0.9579257830766008
ANKZF1:P1P2,473,targeting,7.2373046875,0.012,6.42822265625,0.025,6.0318603515625,0.046,7.663330078125,0.016,7.1561279296875,0.025,6.5479736328125,0.015,6.1474609375,0.026,7.201171875,0.014,6.706298828125,0.014,6.3824462890625,0.036,7.8365478515625,0.014,6.801025390625,0.018,5.8328857421875,0.034,5.56298828125,0.049,8.067626953125,0.01,5.4425048828125,0.042,5.7623291015625,0.034,5.13427734375,0.064,6.7523193359375,0.015,4.7535400390625,0.1,6.472412109375,0.030449999999999998,1.5162701009999762,0.8110661617453631
ZNF283:P1P2,851,targeting,2.372314453125,0.263,1.8214111328125,0.49,2.391357421875,0.244,2.4490966796875,0.201,1.7353515625,0.518,3.0166015625,0.103,2.7528076171875,0.131,2.0921630859375,0.352,2.0167236328125,0.394,2.69775390625,0.14,2.71435546875,0.175,2.2144775390625,0.283,3.275390625,0.065,2.8306884765625,0.132,2.0247802734375,0.354,2.422607421875,0.222,3.50244140625,0.058,2.2401123046875,0.266,2.071533203125,0.375,3.159423828125,0.082,2.490069580078125,0.2424,0.6154494684362823,0.3962114827671346
"MYRFL:ENST00000299350.4,ENST00000548892.1",444,targeting,11.477294921875,0.0,12.7906494140625,0.001,10.89697265625,0.003,11.1141357421875,0.005,12.359130859375,0.0,10.447265625,0.003,9.0159912109375,0.003,12.1072998046875,0.002,11.8446044921875,0.001,12.766845703125,0.001,11.4300537109375,0.002,12.3094482421875,0.0,8.47509765625,0.011,8.8900146484375,0.005,16.1287841796875,0.0,9.1455078125,0.006,8.35986328125,0.005,11.4783935546875,0.0,10.8359375,0.001,9.580810546875,0.003,11.072705078125,0.0026,2.583359492661719,1.0442537326211232
SOX5:ENST00000309359.1,322,targeting,5.302978515625,0.217,5.5079345703125,0.2,5.253662109375,0.215,6.6361083984375,0.108,6.596923828125,0.11,5.37890625,0.165,5.1229248046875,0.232,5.5823974609375,0.176,5.3936767578125,0.205,5.890380859375,0.144,5.39453125,0.21,6.5135498046875,0.104,4.43505859375,0.294,4.4708251953125,0.32,7.6783447265625,0.059,4.47412109375,0.323,3.833740234375,0.481,5.5274658203125,0.176,4.891357421875,0.315,4.402099609375,0.326,5.414349365234375,0.219,0.6595360548143654,0.7335462755383271
ZNF805:P1P2,417,targeting,4.1572265625,0.247,3.6597900390625,0.321,3.18212890625,0.462,4.1824951171875,0.2,3.974853515625,0.236,3.65869140625,0.299,3.9010009765625,0.241,4.1661376953125,0.259,3.5623779296875,0.363,3.87255859375,0.279,4.056640625,0.283,4.6534423828125,0.137,4.120361328125,0.222,4.0411376953125,0.212,5.0838623046875,0.127,3.467529296875,0.362,3.24755859375,0.395,3.6412353515625,0.333,4.133544921875,0.255,4.035400390625,0.261,3.939898681640625,0.2747,0.561125531093555,0.5954850536605578
OR6C1,588,negative control,5.8802490234375,0.022,7.273193359375,0.009,6.254150390625,0.015,6.4652099609375,0.008,6.9952392578125,0.003,5.650146484375,0.024,4.382568359375,0.069,7.1839599609375,0.008,6.3216552734375,0.015,7.2294921875,0.01,6.809814453125,0.019,7.773193359375,0.006,4.73046875,0.046,4.73681640625,0.044,10.133056640625,0.0,4.711181640625,0.062,4.0888671875,0.089,6.892333984375,0.006,6.1195068359375,0.012,5.4595947265625,0.022,6.254534912109375,0.024450000000000006,1.6115435472997333,0.7961950210455652
